Crime,Date,Address
Theft,04/09/10. 07:00 PM.,7200 BLOCK OF ALDER SPRING WAY SAN JOSE
Assault,04/10/10. 07:00 PM.,SOUTH KING AND STORY ROADS SAN JOSE
Assault,04/10/10. 07:00 PM.,SOUTH SECOND AND EAST SAN SALVADOR STREETS SAN JOSE
Assault,04/10/10. 07:00 PM.,500 BLOCK OF SIEBER PLACE SAN JOSE
Shooting,04/11/10. 12:00 AM.,3100 BLOCK OF MODRED DRIVE SAN JOSE
Arrest,04/11/10. 07:00 PM.,100 BLOCK OF SOUTH TERRACE COURT SAN JOSE
Arrest,04/11/10. 07:00 PM.,2000 BLOCK OF LUCRETIA AVENUE SAN JOSE
Robbery,04/12/10. 03:30 PM.,100 BLOCK OF SOUTH MARKET STREET SAN JOSE
Arrest,04/12/10. 02:25 PM.,SOUTH JACKSON AVENUE AND STORY ROAD SAN JOSE
Arrest,04/12/10. 11:29 PM.,1000 BLOCK OF BRANHAM LANE SAN JOSE
Assault,04/14/10. 10:03 PM.,BRANHAM LANE AND CAMDEN AVENUE SAN JOSE
Assault,04/14/10. 07:18 AM.,2300 BLOCK OF PAULINE DRIVE SAN JOSE
Robbery,04/15/10. 01:30 PM.,1700 BLOCK OF AUTOMATION PARKWAY SAN JOSE
Assault,04/15/10. 02:11 AM.,NORTH FOURTH AND EAST SANTA CLARA STREETS SAN JOSE
Robbery,04/16/10. 02:11 AM.,NORTH FOURTH AND EAST SANTA CLARA STREETS SAN JOSE
Theft,04/17/10. 10:10 PM.,CAPITOL AND CROPLEY AVENUE SAN JOSE
Robbery,04/17/10. 09:31 AM.,1600 BLOCK OF STORY ROAD SAN JOSE
Shooting,04/17/10. 02:38 AM.,THIRD AND SAN CARLOS STREET SAN JOSE
Assault,04/17/10. 01:54 AM.,SOUTH FIRST AND SAN SALVADOR STREET SAN JOSE
Robbery,04/17/10. 12:56 AM.,PASEO DE SAN ANTONIO AND SECOND STREET SAN JOSE
Robbery,04/18/10. 11:39 AM.,"2800 BLOCK OF STORY ROAD, SAN JOSE"
Assault,04/20/10. 08:44 AM.,1000 BLOCK OF RAVENSCOURT AVENUE SAN JOSE
Robbery,04/20/10. 01:27 PM.,SOUTH SECOND AND SAN SALVADOR STREETS SAN JOSE
Burglary,04/20/10. ,SAFE HAVEN COURT AND BRODIE DRIVE SAN JOSE
Theft,04/20/10. ,1100 BLOCK OF KOTENBERG AVENUE SAN JOSE
Assault,04/20/10. 08:40 PM.,1200 BLOCK OF RAVENSCOURT AVENUE SAN JOSE
Shooting,04/21/10. 09:30 PM.,WILLARD AVENUE AND SAN CARLOS STREET SAN JOSE
Arrest,04/22/10. 12:31 AM.,BRANHAM LANE AND SNELL AVENUE SAN JOSE
Arrest,04/23/10. 07:41 PM.,KING ROAD AND LAVONNE AVENUE SAN JOSE
Shooting,04/23/10. 04:40 PM.,3300 BLOCK OF WILLOW PASS ROAD SAN JOSE
Arrest,04/24/10. 06:51 PM.,1600 BLOCK OF WESTHAVEN DRIVE SAN JOSE
Assault,04/25/10. 11:31 PM.,ST. JOHN AND NORTH FIFTH STREETS SAN JOSE
Burglary,04/25/10. 07:36 AM.,NORTH JACKSON AVENUE AND ALEXIAN DRIVE SAN JOSE
Arrest,04/26/10. 09:40 AM.,TERNER WAY AND PEARL AVENUE SAN JOSE
Assault,04/27/10. 10:11 AM.,700 BLOCK OF PARK AVENUE SAN JOSE
Arrest,04/27/10. 07:36 AM.,3200 BLOCK OF MOORPARK AVENUE SAN JOSE
Arrest,04/28/10. 06:29 AM.,MEADOWLANDS AND GRAND MEADOW LANE SAN JOSE
Assault,04/28/10. 12:42 AM.,QUIMBY AND SOUTH WHITE ROAD SAN JOSE
Shooting,04/30/10. ,100 BLOCK OF W. ALMA AVE SAN JOSE
Robbery,04/30/10. ,100 BLOCK OF WEST ALMA AVENUE SAN JOSE
Vandalism,05/02/10. 04:47 PM.,600 BLOCK OF NEEDLES DRIVE SAN JOSE
Arrest,05/02/10. 04:30 AM.,400 BLOCK OF PAGE STREET SAN JOSE
Arrest,05/02/10. 01:15 AM.,900 BLOCK OF BRANHAM LANE SAN JOSE
Burglary,05/04/10. 11:20 AM.,BROADWAY AND LINCOLN AVENUE SAN JOSE
Theft,05/05/10. 03:50 AM.,"ALMADEN EXPRESSWAY AND VIA VALIENTE, SAN JOSE"
Arrest,05/07/10. 07:10 AM.,NORMAN MINETA SAN JOSE INTERNATIONAL AIRPORT SAN JOSE
Arrest,05/07/10. 01:00 PM.,PIEDMONT MIDDLE SCHOOL SAN JOSE
Robbery,05/08/10. 09:48 PM.,400 BLOCK OF TOYON AVENUE SAN JOSE
Arrest,05/08/10. 04:10 PM.,1800 BLOCK OF LAVONNE AVENUE SAN JOSE
Assault,05/08/10. 08:14 PM.,TULLY AND KING ROAD SAN JOSE
Arrest,05/08/10. 07:29 PM.,MONTEREY ROAD AND SAN JOSE AVENUE SAN JOSE
Arrest,05/08/10. 01:57 AM.,WHITE ROAD AND ROSE AVENUE SAN JOSE
Assault,05/09/10. 02:29 AM.,5400 BLOCK OF MAYLAND AVENUE SAN JOSE
Theft,05/09/10. 05:25 AM.,1900 BLOCK OF COASTLAND AVENUE SAN JOSE
Assault,05/10/10. 03:15 PM.,SENTER ROAD AND SYLVANDALE AVENUE SAN JOSE
Robbery,05/10/10. 07:46 AM.,SENTER ROAD AND SEVEN TREES BOULEVARD SAN JOSE
Burglary,05/10/10. 02:06 AM.,5400 BLOCK OF SNELL AVENUE SAN JOSE
Arrest,05/10/10. 02:30 AM.,LONUS STREET AND LINCOLN AVE SAN JOSE
Robbery,05/11/10. 03:30 PM.,800 BLOCK OF SOUTH FIRST STREET SAN JOSE
Burglary,05/12/10. 02:21 AM.,2800 BLOCK OF SENTER ROAD SAN JOSE
Arrest,05/13/10. 10:55 PM.,ALMA AVENUE AND MONTEREY ROAD SAN JOSE
Arrest,05/13/10. 05:45 PM.,JACKSON AND ALUM ROCK AVENUE SAN JOSE
Arrest,05/14/10. 09:14 PM.,FIRST STREET AND EDWARDS AVENUE SAN JOSE
Arrest,05/14/10. 08:11 PM.,MILLBROOK DRIVE AND STEVENS LANE SAN JOSE
Assault,05/14/10. 01:49 AM.,2200 BLOCK OF MONTEREY ROAD SAN JOSE
Assault,05/14/10. 05:39 PM.,CURTNER AVENUE AND MONTEREY ROAD SAN JOSE
Assault,05/14/10. 05:41 PM.,SENTER ROAD AND TULLY ROAD SAN JOSE
Robbery,05/15/10. 12:45 PM.,2600 BLOCK OF BERRYESSA ROAD SAN JOSE
Assault,05/15/10. 04:14 AM.,SECOND AND SAN SALVADOR STREETS SAN JOSE
Robbery,05/15/10. 07:11 PM.,1000 BLOCK OF LEIGH AVENUE SAN JOSE
Robbery,05/16/10. 01:00 AM.,800 BLOCK OF DELMAS AVENUE SAN JOSE
Shooting,05/16/10. 03:00 AM.,STORY AND KING ROADS SAN JOSE
Shooting,05/16/10. 03:00 AM.,STORY AND KING ROAD SAN JOSE
Robbery,05/17/10. 06:00 PM.,800 BLOCK OF BLOSSOM HILL ROAD SAN JOSE
Assault,05/17/10. 01:48 PM.,3500 BLOCK OF SQUIRECREEK CIRCLE SAN JOSE
Arrest,05/17/10. 12:54 PM.,3000 BLOCK OF TOKAY WAY SAN JOSE
Arrest,05/17/10. 04:00 AM.,2400 BLOCK OF STEVENS CREEK BOULEVARD SAN JOSE
Robbery,05/17/10. 01:05 AM.,3600 BLOCK OF PEARL AVENUE SAN JOSE
Assault,05/18/10. 06:25 PM.,WEST VIRGINIA STREET AND DELMAS AVENUE SAN JOSE
Robbery,05/18/10. 05:58 PM.,BERRYESSA AND CAPITOL EXPRESSWAY SAN JOSE
Robbery,05/18/10. 02:36 AM.,100 BLOCK OF BANGOR AVENUE SAN JOSE
Arrest,05/19/10. 08:00 AM.,1000 BLOCK OF SARATOGA AVENUE SAN JOSE
Shooting,05/19/10. ,100 BLOCK OF ROSE LANE SAN JOSE
Arrest,05/20/10. 08:05 PM.,1900 BLOCK OF QUIMBY ROAD SAN JOSE
Theft,05/20/10. 01:32 AM.,SNELL AVENUE AND ROSENBAUM AVENUE SAN JOSE
Robbery,05/20/10. 12:40 PM.,300 BLOCK OF COMMERCIAL STREET SAN JOSE
Shooting,05/21/10. ,SOUTH SEVENTH AND EAST REED STREETS SAN JOSE
Robbery,05/21/10. 01:34 PM.,1100 BLOCK OF MCLAUGHLIN AVENUE SAN JOSE
Burglary,05/21/10. 05:59 AM.,4100 BLOCK OF CRESCENDO AVENUE SAN JOSE
